"Issuer Company","Open Date","Close Date","Listing Date","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Indo Farm Equipment Limited IPO","","","","","","","BSE, NSE",""
"Avanse Financial Services Limited IPO","","","","","3,500.00","","BSE, NSE",""
"Ventive Hospitality Limited IPO","Dec 20, 2024","Dec 24, 2024","Dec 30, 2024","","1,600.00","","BSE, NSE",""
"Concord Enviro Systems Limited IPO","Dec 19, 2024","Dec 23, 2024","Dec 27, 2024","410.00 to 432.00","375.49","","BSE, NSE",""
"Sanathan Textiles Limited IPO","Dec 19, 2024","Dec 23, 2024","Dec 27, 2024","305.00 to 321.00","550.00","","BSE, NSE",""
"Mamata Machinery Limited IPO","Dec 19, 2024","Dec 23, 2024","Dec 27, 2024","230.00 to 243.00","179.39","61","BSE, NSE",""
"DAM Capital Advisors Limited IPO","Dec 19, 2024","Dec 23, 2024","Dec 27, 2024","269.00 to 283.00","840.25","53","BSE, NSE",""
"Transrail Lighting Limited IPO","Dec 19, 2024","Dec 23, 2024","Dec 27, 2024","","","","BSE, NSE",""
"International Gemmological Institute (India) Limited IPO","Dec 13, 2024","Dec 17, 2024","Dec 20, 2024","397.00 to 417.00","4,225.00","35","BSE, NSE",""
"Inventurus Knowledge Solutions Limited IPO","Dec 12, 2024","Dec 16, 2024","Dec 19, 2024","1,329","2,497.92","11","BSE, NSE",""
"One Mobikwik Systems Limited IPO","Dec 11, 2024","Dec 13, 2024","Dec 18, 2024","279","572.00","53","BSE, NSE",""
"Sai Life Sciences Limited IPO","Dec 11, 2024","Dec 13, 2024","Dec 18, 2024","549","3,042.62","27","BSE, NSE",""
"Vishal Mega Mart Limited IPO","Dec 11, 2024","Dec 13, 2024","Dec 18, 2024","78","8,000.00","190","BSE, NSE",""
"Property Share Investment Trust SM REIT","Dec 02, 2024","Dec 04, 2024","Dec 10, 2024","10,50,000","352.91","1","BSE",""
