"Issuer Company","Open Date","Close Date","Listing Date","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Prince Pipes and Fittings Ltd IPO","Dec 18, 2019","Dec 20, 2019","Dec 30, 2019","178","500.00","84","BSE, NSE",""
"Ujjivan Small Finance Bank Ltd IPO","Dec 02, 2019","Dec 04, 2019","Dec 12, 2019","37","750.00","400","BSE, NSE",""
"CSB Bank Limited IPO","Nov 22, 2019","Nov 26, 2019","Dec 04, 2019","195","409.68","75","BSE, NSE",""
"Vishwaraj Sugar Industries Ltd IPO","Sep 30, 2019","Oct 04, 2019","Oct 15, 2019","60","60.00","240","BSE, NSE",""
"IRCTC Limited IPO","Sep 30, 2019","Oct 03, 2019","Oct 14, 2019","320","645.12","40","BSE, NSE",""
"Sterling and Wilson Solar Ltd IPO","Aug 06, 2019","Aug 08, 2019","Aug 20, 2019","780","3,145.16","19","BSE, NSE",""
"Spandana Sphoorty Financial Ltd IPO","Aug 05, 2019","Aug 07, 2019","Aug 19, 2019","856","1,202.34","17","BSE, NSE",""
"Affle (India) Limited IPO","Jul 29, 2019","Jul 31, 2019","Aug 08, 2019","745","459.00","20","BSE, NSE",""
"IndiaMART InterMESH Limited IPO","Jun 24, 2019","Jun 26, 2019","Jul 04, 2019","973","475.59","15","BSE, NSE",""
"Neogen Chemicals Limited IPO","Apr 24, 2019","Apr 26, 2019","May 08, 2019","215","132.35","65","BSE, NSE",""
"Polycab India Limited IPO","Apr 05, 2019","Apr 09, 2019","Apr 16, 2019","538","1,346.00","27","BSE, NSE",""
"Metropolis Healthcare Limited IPO","Apr 03, 2019","Apr 05, 2019","Apr 15, 2019","880","1,204.29","17","BSE, NSE",""
"Rail Vikas Nigam Limited IPO","Mar 29, 2019","Apr 03, 2019","Apr 11, 2019","19","481.57","780","BSE, NSE",""
"Embassy Office Parks REIT","Mar 18, 2019","Mar 20, 2019","Apr 01, 2019","300","4,750.00","400","BSE, NSE",""
"MSTC Limited IPO","Mar 13, 2019","Mar 20, 2019","Mar 29, 2019","120","212.04","90","BSE, NSE",""
"Chalet Hotels Limited IPO","Jan 29, 2019","Jan 31, 2019","Feb 07, 2019","280","1,641.18","53","BSE, NSE",""
"Xelpmoc Design and Tech Limited IPO","Jan 23, 2019","Jan 25, 2019","Feb 04, 2019","66","23.00","200","BSE, NSE",""
