Date,Close,High,Low,Open,Volume,symbol
,AWFIS.NS,AWFIS.NS,AWFIS.NS,AWFIS.NS,AWFIS.NS,
2024-05-27,402.95001220703125,451.45001220703125,396.0,435.0,15327709,AWFIS.NS
2024-06-03,448.5,468.79998779296875,371.3999938964844,420.0,4508762,AWFIS.NS
2024-06-10,483.3500061035156,491.79998779296875,433.25,448.5,2864753,AWFIS.NS
2024-06-17,491.1000061035156,544.0,473.20001220703125,483.3500061035156,2965237,AWFIS.NS
2024-06-24,514.5999755859375,578.9500122070312,474.70001220703125,494.8999938964844,3231826,AWFIS.NS
2024-07-01,552.1500244140625,568.9000244140625,501.0,522.2999877929688,1857317,AWFIS.NS
2024-07-08,619.75,634.9000244140625,521.9500122070312,552.0,2520064,AWFIS.NS
2024-07-15,647.0999755859375,757.8499755859375,608.25,624.7999877929688,4048164,AWFIS.NS
2024-07-22,639.9500122070312,657.2999877929688,578.9000244140625,640.0,867295,AWFIS.NS
2024-07-29,670.0,706.1500244140625,648.0499877929688,694.9000244140625,879650,AWFIS.NS
2024-08-05,696.0999755859375,712.0,612.5499877929688,651.0,962216,AWFIS.NS
2024-08-12,720.0999755859375,746.6500244140625,665.5499877929688,690.0,1671161,AWFIS.NS
2024-08-19,899.9000244140625,946.0,702.2999877929688,727.0,8128197,AWFIS.NS
2024-08-26,749.6500244140625,888.0,731.0499877929688,888.0,4573567,AWFIS.NS
2024-09-02,771.5499877929688,825.0,743.5,749.6500244140625,2415187,AWFIS.NS
2024-09-09,727.5499877929688,797.7999877929688,719.0,771.5999755859375,1676149,AWFIS.NS
2024-09-16,722.9500122070312,742.0999755859375,700.3499755859375,736.0,1983884,AWFIS.NS
2024-09-23,696.8499755859375,738.0,690.2000122070312,727.9000244140625,755886,AWFIS.NS
2024-09-30,672.0499877929688,714.9000244140625,650.0,699.0,1027534,AWFIS.NS
2024-10-07,707.8499755859375,729.9000244140625,623.25,675.0,1413205,AWFIS.NS
2024-10-14,752.75,762.7000122070312,695.0999755859375,709.0499877929688,1153118,AWFIS.NS
2024-10-21,682.6500244140625,769.3499755859375,671.2000122070312,754.0,673781,AWFIS.NS
2024-10-28,686.25,712.5,675.0,682.6500244140625,359506,AWFIS.NS
2024-11-04,792.8499755859375,798.0,673.5999755859375,698.0,1442908,AWFIS.NS
2024-11-11,714.0499877929688,810.0,708.25,791.25,1571026,AWFIS.NS
2024-11-18,680.8499755859375,720.0499877929688,663.9500122070312,717.8499755859375,447734,AWFIS.NS
2024-11-25,693.8499755859375,744.0999755859375,678.5,698.5,1570629,AWFIS.NS
2024-12-02,715.6500244140625,740.0,696.5,699.2999877929688,1402871,AWFIS.NS
2024-12-09,726.8499755859375,807.7999877929688,700.0,728.0,4882423,AWFIS.NS
2024-12-16,714.6500244140625,755.7999877929688,701.0,730.7999877929688,2215652,AWFIS.NS
2024-12-23,725.4500122070312,743.5,690.25,720.0,1554508,AWFIS.NS
